"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-05","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.2","","","","1"
"2020-06","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.2","","","","1"
"2020-07","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","95.8","","","","1"
"2020-08","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","95.8","","","","1"
"2020-09","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.5","","","","1"
"2020-10","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","96.9","","","","1"
"2020-11","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","97.5","","","","1"
"2020-12","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","97.4","","","","1"
"2021-01","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","97.8","","","","1"
"2021-02","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","99.1","","","","1"
"2021-03","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","100.3","","","","1"
"2021-04","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","102.8","","","","1"
"2021-05","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","106.8","","","","1"
"2021-06","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","109.8","","","","1"
"2021-07","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","110.4","","","","1"
"2021-08","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","110.3","","","","1"
"2021-09","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","110.2","","","","1"
"2021-10","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","110.6","","","","1"
"2021-11","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","110.8","","","","1"
"2021-12","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","111.7","","","","1"
"2022-01","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","114.1","","","","1"
"2022-02","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","118.4","","","","1"
"2022-03","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","122.6","","","","1"
"2022-04","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","124.3","","","","1"
"2022-05","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","126.1","","","","1"
"2022-06","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","126.2","","","","1"
"2022-07","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.9","","","","1"
"2022-08","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","126.5","","","","1"
"2022-09","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","126.4","","","","1"
"2022-10","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.8","","","","1"
"2022-11","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.5","","","","1"
"2022-12","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.4","","","","1"
"2023-01","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.1","","","","1"
"2023-02","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","124.7","","","","1"
"2023-03","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","124.8","","","","1"
"2023-04","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.0","","","","1"
"2023-05","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.2","","","","1"
"2023-06","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","124.9","","","","1"
"2023-07","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.1","","","","1"
"2023-08","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.5","","","","1"
"2023-09","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.2","","","","1"
"2023-10","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.1","","","","1"
"2023-11","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","124.5","","","","1"
"2023-12","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","124.7","","","","1"
"2024-01","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.2","","","","1"
"2024-02","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.3","","","","1"
"2024-03","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.7","","","","1"
"2024-04","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","126.9","","","","1"
"2024-05","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","128.2","","","","1"
"2024-06","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","128.9","","","","1"
"2024-07","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","129.8","","","","1"
"2024-08","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","129.4","","","","1"
"2024-09","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","129.9","","","","1"
"2024-10","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","129.5","","","","1"
"2024-11","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","129.6","","","","1"
"2019-01","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.6","E","","","1"
"2019-02","Prairie Region","2016A00014","Land only","Index, 201612=100","347","units","0","v111955525","28.3","100.7","E","","","1"
